,Price_A,Price_B,Spread,Zscore,Position_A,Position_B,Signal,Return_A,Return_B,Strategy_Return,Cumulative_Return,Transaction_Cost,Net_Return,Gross_Cumulative,Net_Cumulative
2022-01-03,325.36328125,366.8867492675781,-100.80744056044472,-0.9674744111022159,0,0,HOLD,,,0.0,1.0,0.0,0.0,0.0,0.0
2022-01-04,322.1011962890625,370.6575622558594,-108.44965125837359,-1.446048134978045,0,0,HOLD,-0.010025977573145384,0.010277866387404355,0.0,1.0,0.0,0.0,0.0,0.0
2022-01-05,322.70562744140625,365.6297607421875,-102.00499337535967,-1.0424680657952425,0,0,HOLD,0.0018765256363757477,-0.013564545892635116,0.0,1.0,0.0,0.0,0.0,0.0
2022-01-06,320.0288391113281,364.3009338378906,-103.1382342153857,-1.1134343490209073,0,0,HOLD,-0.008294830032253286,-0.0036343510484472263,-0.0,1.0,0.0,-0.0,0.0,0.0
2022-01-07,310.10821533203125,353.39239501953125,-100.38764577075204,-0.9411858456977917,0,0,HOLD,-0.030999155597492223,-0.029943757495866197,-0.0,1.0,0.0,-0.0,0.0,0.0
2022-01-10,310.1849365234375,347.870849609375,-93.89717156795194,-0.5347366477195347,0,0,HOLD,0.0002474013509254913,-0.015624403603397008,0.0,1.0,0.0,0.0,0.0,0.0
2022-01-11,311.3363342285156,347.1615295410156,-91.9218371954122,-0.4110364300819248,0,0,EXIT,0.003711971696572558,-0.0020390327880472903,0.0,1.0,0.0,0.0,0.0,0.0
2022-01-12,308.5444030761719,349.6125793457031,-97.56087489096666,-0.7641666139656341,0,0,HOLD,-0.008967572510488075,0.007060257534664105,0.0,1.0,0.0,0.0,0.0,0.0
2022-01-13,304.5147399902344,347.4398193359375,-99.06668912291525,-0.8584643444173947,0,0,HOLD,-0.013060237183893042,-0.006214764965928654,-0.0,1.0,0.0,-0.0,0.0,0.0
2022-01-14,295.9469909667969,333.990478515625,-92.01186443195843,-0.4166741534511402,0,0,EXIT,-0.028135744836891186,-0.038709842890254365,-0.0,1.0,0.0,-0.0,0.0,0.0
2022-01-18,293.7979431152344,329.2499084472656,-88.65432974310801,-0.20641720783710626,0,0,EXIT,-0.007261597235849626,-0.01419372818479192,-0.0,1.0,0.0,-0.0,0.0,0.0
2022-01-19,291.46649169921875,322.938232421875,-83.6542230340504,0.10670157180851682,0,0,EXIT,-0.007935560716642476,-0.019169864177506768,-0.0,1.0,0.0,-0.0,0.0,0.0
2022-01-20,285.58514404296875,313.8611755371094,-78.99178328937211,0.3986748291752726,0,0,EXIT,-0.020178469305210278,-0.028107718360542933,-0.0,1.0,0.0,-0.0,0.0,0.0
2022-01-21,280.9703063964844,313.4302673339844,-83.10608375285267,0.1410273797944852,0,0,EXIT,-0.016159235670151095,-0.0013729261110030366,-0.0,1.0,0.0,-0.0,0.0,0.0
